QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
SE-01;Security, Evidence & Monitoring;CloudService;Welche aktuelle C5:2026-Testierung bzw. gleichwertigen unabhängigen Nachweise liegen für genau den genutzten Service und Scope vor?;Dokument+Scope;wenn C5 relevant;Evidenz;Bedingt;Testat/Report;5;G z.S11;SOV-7;"C5:2026; EU CSF SOV-7";"SRC-03; SRC-05";Scope mismatch → nicht als erfüllt werten;Evidence;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-05: BSI C5:2026: Cloud-Sicherheits-/Assurance-Kriterien; konkrete Control-ID erst nach Volltext-Mapping speichern";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-02;Security, Evidence & Monitoring;CloudService;Welche C3A-Kriterien bzw. EU-CSF-Souveränitätsaussagen sind durch prüfbare Evidenz belegt und welche nur Selbstauskunft?;Matrix;wenn Providerassessment;Evidenz;Bedingt;C3A/Evidence/Provider Docs;2;G z.S1-S9;;"C3A; EU CSF";"SRC-03; SRC-04";Selbstauskunft separat kennzeichnen;Capability/Evidence;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-03;Security, Evidence & Monitoring;Evidence;Ist jeder relevante Nachweis mit Herausgeber, Scope, Datum, Version und Gültigkeitszeitraum versehen?;Boolean;immer;Evidenz;Basis;Evidence Register;2;G z.S11,S12;;ENISA Guidance;SRC-07;nein → Evidenzqualität reduzieren;Evidence;Fachliche Operationalisierung aus Quelle(n);SRC-07: ENISA Technical Implementation Guidance v1.0 (2025): Umsetzungshinweise, Evidence-Beispiele und Standard-Mappings;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-04;Security, Evidence & Monitoring;Evidence;Widersprechen sich Provider-Aussagen, Vertrag, technische Konfiguration oder unabhängige Testate in einem entscheidungsrelevanten Punkt?;Boolean+Refs;immer;Evidenz;Basis;Evidence Register/automatisierter Konsistenzcheck;2;G z.S11,S12;;"ENISA Evidence-/Assurance-Guidance; internes Quality Gate";"SRC-07; INT-01";ja → menschliche Klärung, kein Auto-Score;Confidence;Interne Quality-Gate-Regel – quellenbasiert;"PROVENIENZREVIEW v0.5 – ENISA Technical Implementation Guidance v1.0 als Evidenz-/Nachweisreferenz; Konsistenzprüfung ist internes Radar-Quality-Gate | INT-01: Interne Methodenentwicklung Souveränitäts-Radar; keine externe normative Quelle";"Die konkrete Frage/Regel ist internes Radar-Design. Externe Quellen begründen den Prüf- oder Governancegegenstand; die Formulierung, Antwortstruktur und Bewertung sind keine wörtliche Normvorgabe."
SE-05;Security, Evidence & Monitoring;Organization;Kann die Organisation relevante Logs und Auditdaten providerunabhängig exportieren, aufbewahren und auswerten?;Boolean;wenn Logging relevant;Kontrolle;Bedingt;SIEM/Export-Test;3;G z.S11;;C5/NIS2;"SRC-05; SRC-06";nein → Evidence/IR-Abhängigkeit;Control;Fachliche Operationalisierung aus Quelle(n);"SRC-05: BSI C5:2026: Cloud-Sicherheits-/Assurance-Kriterien; konkrete Control-ID erst nach Volltext-Mapping speichern | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-06;Security, Evidence & Monitoring;RiskScenario;Wann wurde das letzte vollständige Reassessment durchgeführt und welche Ereignisse lösen ein außerplanmäßiges Reassessment aus?;Datum+Triggerliste;immer;Governance;Basis;Risk Policy;2;G z.S12;;"NIS2 DVO 2024/2690 2.1.4; BSI 200-3";"SRC-01; SRC-06";>1 Jahr oder Trigger fehlen → Prozess-Gap;Governance;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 6.2 Risiken unter Beobachtung; DVO (EU) 2024/2690 Annex 2.1.4 mindestens jährliche/ereignisbezogene Aktualisierung | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-07;Security, Evidence & Monitoring;ProviderLegalEntity;Werden Änderungen an Eigentum, Subprozessoren, Regionen, Terms, Schlüssel-/Control-Plane-Architektur automatisch überwacht?;Multi-select;wenn laufender Betrieb;Kontrolle;Bedingt;Monitoring/Subscriptions/Contract;2;G z.S12;;"DORA/NIS2 Review; C3A";"SRC-04; SRC-06; SRC-08";nein → Monitoring Backlog;Control;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-04 CSP Control Change (Teilbezug; weitere Drift-Auslöser sind Radar-Operationalisierung) | DVO (EU) 2024/2690 Annex 2.1.4 und 5.1.6-5.1.7: Review bei Änderungen; C3A SOV-1-04 für Control Change | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-08;Security, Evidence & Monitoring;RiskScenario;Welche Unsicherheit besteht bei den wesentlichen Annahmen der Risikobewertung?;Enum 1-5+Text;immer;Evidenz;Basis;Assessment Notes;2;alle;;BSI 200-3 Risikoappetit/Unsicherheit;SRC-01;hohe Unsicherheit separat ausweisen, nicht als Risiko verstecken;Confidence;Fachliche Operationalisierung aus Quelle(n);PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 5.1 und Kap. 9.1.2/9.1.3: Unsicherheit der Eingangsdaten/Risikoneigung | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-09;Security, Evidence & Monitoring;Evidence;Enthält der aktuelle unabhängige Prüfbericht Ausnahmen, Abweichungen oder eingeschränkte Prüfungsurteile für relevante Kriterien?;Boolean+Liste;wenn Testat vorhanden;Evidenz;Bedingt;C5-/Auditbericht;5;G z.S11;;C5:2026;SRC-05;ja → betroffene Claims nicht pauschal als erfüllt markieren;Evidence;Fachliche Operationalisierung aus Quelle(n);"SRC-05: BSI C5:2026: Cloud-Sicherheits-/Assurance-Kriterien; konkrete Control-ID erst nach Volltext-Mapping speichern";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-10;Security, Evidence & Monitoring;Control;Sind alle kundenseitig zu erfüllenden komplementären Kontrollen für den genutzten Service identifiziert und einem Owner zugeordnet?;Boolean;wenn Shared Responsibility;Kontrolle;Bedingt;C5-Report/Control Register;2;G z.S11,G z.S5;;"C5:2026; BSI Cloud-Nutzung";"SRC-05; SRC-21";nein → Implementierungs-Gap;Control;Fachliche Operationalisierung aus Quelle(n);"SRC-05: BSI C5:2026: Cloud-Sicherheits-/Assurance-Kriterien; konkrete Control-ID erst nach Volltext-Mapping speichern | SRC-21: BSI Mindeststandard zur Nutzung externer Cloud-Dienste: Transparenz, Nachweise und Sicherheitsanforderungen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-11;Security, Evidence & Monitoring;Contract;Kann der Kunde bei kritischen Souveränitätsclaims zusätzliche Nachweise oder Audits vertraglich anfordern?;Boolean;wenn Provider Evidence entscheidungsrelevant;Kontrolle;Bedingt;Vertrag/Audit Rights;4;G z.S11,G z.S1;SOV-2;"C3A SOV-2-02; DORA/NIS2";"SRC-04; SRC-06; SRC-08";nein → Assurance-Abhängigkeit;Control;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-2-02 Audit Rights | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-12;Security, Evidence & Monitoring;Evidence;Liegt jeder kritische technische Nachweis innerhalb der für diesen Claim definierten maximalen Alterungsfrist?;Boolean;immer;Evidenz;Basis;Evidence Register;2;G z.S12,G z.S11;;"ENISA Guidance; NIS2 Review";"SRC-06; SRC-07";nein → Evidence Status 'stale';Confidence;Fachliche Operationalisierung aus Quelle(n);SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-07: ENISA Technical Implementation Guidance v1.0 (2025): Umsetzungshinweise, Evidence-Beispiele und Standard-Mappings;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-13;Security, Evidence & Monitoring;Evidence;Ist der Scope jedes kritischen Nachweises eindeutig dem konkreten Service, der Region und der betrachteten Version zugeordnet?;Boolean;immer;Evidenz;Basis;Evidence Register/Testat;5;G z.S11;;C5/C3A/ENISA Guidance;"SRC-04; SRC-05; SRC-07";nein → Claim nicht als vollständig belegt werten;Confidence;Fachliche Operationalisierung aus Quelle(n);"SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-05: BSI C5:2026: Cloud-Sicherheits-/Assurance-Kriterien; konkrete Control-ID erst nach Volltext-Mapping speichern | SRC-07: ENISA Technical Implementation Guidance v1.0 (2025): Umsetzungshinweise, Evidence-Beispiele und Standard-Mappings";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-14;Security, Evidence & Monitoring;RiskScenario;Wurde mindestens ein entscheidungsrelevanter Anbieterclaim durch einen technischen Test oder eine unabhängige zweite Quelle verifiziert?;Boolean;wenn hohes/ sehr hohes Risiko oder geringe Evidenz;Evidenz;Bedingt;Testprotokoll/zweite Quelle;2;G z.S11;;"ENISA Evidence; Assurance Practice";SRC-07;nein → Konfidenz begrenzen;Confidence;Fachliche Operationalisierung aus Quelle(n);SRC-07: ENISA Technical Implementation Guidance v1.0 (2025): Umsetzungshinweise, Evidence-Beispiele und Standard-Mappings;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-15;Security, Evidence & Monitoring;Organization;Gibt es definierte Aktualitätsfristen für Verträge, Provider-Dokumentation, Testate und technische Messungen?;Boolean;immer;Governance;Basis;Evidence Policy;2;G z.S12;;"NIS2 Review; BSI 200-3 Monitoring";"SRC-01; SRC-06";nein → Evidence-Governance-Maßnahme;Governance;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 6.2; DVO (EU) 2024/2690 Annex 2.1.4 | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SE-16;Security, Evidence & Monitoring;RiskScenario;Erreicht die Evidenz für jeden kritischen Claim das vorab festgelegte Mindest-Trust-Level?;Boolean;immer;Evidenz;Basis;Evidence Register/Assessment Rule;2;G z.S11;;Evidence Confidence / internes Trust-Modell;"SRC-07; INT-01";nein → Entscheidung blockieren oder Ausnahme freigeben;Decision/Confidence;Interne Trust-Level-Regel – quellenbasierte Operationalisierung;"PROVENIENZREVIEW v0.5 – Trust-Level 0–5 ist internes Methodendesign; ENISA Guidance motiviert Evidence/Assurance, nicht die numerische Skala | INT-01: Interne Methodenentwicklung Souveränitäts-Radar; keine externe normative Quelle";"Die konkrete Frage/Regel ist internes Radar-Design. Externe Quellen begründen den Prüf- oder Governancegegenstand; die Formulierung, Antwortstruktur und Bewertung sind keine wörtliche Normvorgabe."
