Feld;Beschreibung;Historical status
collector_id;Verweis auf AWS Collector-Schritt;retired provider-specific field
account_id;AWS Account;retired provider-specific field
region;AWS Region;generic concept retained as Location
resource_arn;AWS resource identifier;retired provider-specific field
command;AWS CLI command;not required in current generic Evidence Pack
sha256;Hash der Raw Evidence;generic optional chain-of-custody concept retained
base_trust;Evidence type trust;retained
scope_fit;claim/workload scope fit;retained
freshness_fit;time/version fit;retained
effective_trust;MIN(base/scope/freshness);retained
applied_state;available/configured/tested etc.;retained and generalized
review_status;workflow state;retained
