QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
SC-01;Scope & Kritikalität;Workload;Welche konkrete Cloud-/ICT-Leistung ist Gegenstand des Assessments?;Text/ID;immer;Scope/Fakt;Basis;Architektur-/Servicebeschreibung;3;alle;;BSI 200-3 Vorarbeiten;SRC-01;Ohne eindeutiges Zielobjekt kein Scoring;Scope;Fachliche Operationalisierung aus Quelle(n);PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2 (betrachtete Zielobjekte/Geltungsbereich als Vorarbeit) | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-02;Scope & Kritikalität;BusinessFunction;Welche Geschäfts- oder Verwaltungsfunktion hängt von diesem Workload ab?;Referenzliste;immer;Klassifikation;Basis;Prozesslandkarte/CMDB/Servicekatalog;3;G z.S3,S4,S7;;"BSI 200-3 Vorarbeiten/Strukturanalyse; DORA";"SRC-01; SRC-08";kritische Funktion → vertiefte Fragen;Impact;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2 (Strukturanalyse/Geschäftsprozesse); DORA Art. 28(4) bei kritischen/wichtigen Funktionen | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-03;Scope & Kritikalität;BusinessFunction;Wie kritisch ist die unterstützte Funktion nach dem organisationsinternen Kritikalitätsmodell?;Enum 1-5;immer;Klassifikation;Basis;BIA/Schutzbedarfsfeststellung;3;alle;;"BSI 200-3; NIS2 BIA; DORA";"SRC-01; SRC-06; SRC-08";hoch → strengere Akzeptanzgrenzen;Impact;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2 (Schutzbedarfsfeststellung); BSI 200-3 Kap. 5 (Auswirkung/Risikoeinstufung) | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-04;Scope & Kritikalität;BusinessFunction;Welche maximal tolerierbare Unterbrechungsdauer gilt für die Funktion?;Dauer;wenn Verfügbarkeit relevant;Test/Messung;Bedingt;BIA/RTO/MTPD-Dokument;3;G z.S3,S4,S7;;"BSI 200-4; DORA BCM";"SRC-08; SRC-20";Exit-/Recovery-Zeit dagegen prüfen;Impact/Time;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-4/BCM als Zeitbezug; DVO (EU) 2024/2690 Erwägungsgrund 13 nennt MTD/RTO/RPO als BIA-Parameter | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration | SRC-20: BSI-Standard 200-4 / BCM: BIA, zeitkritische Auswirkungen und Wiederanlauf-/Kontinuitätsbezug";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-05;Scope & Kritikalität;Workload;Welche Schutzbedarfe gelten für Vertraulichkeit, Integrität und Verfügbarkeit?;3x Enum;immer;Klassifikation;Basis;Schutzbedarfsfeststellung;3;alle;;BSI 200-3;SRC-01;steuert Fragepfade und Impact;Impact;Fachliche Operationalisierung aus Quelle(n);PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2: Schutzbedarf Vertraulichkeit, Integrität, Verfügbarkeit | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-06;Scope & Kritikalität;Workload;Gibt es zusätzliche Schutzziele wie Authentizität, Nachvollziehbarkeit oder Daten-/Schlüsselhoheit?;Multi-select;immer;Scope/Fakt;Basis;Security-/Compliance-Anforderungen;2;G z.S1,S8,S11;;"NIS2 Authentizität; EU CSF";"SRC-03; SRC-06";Auswahl aktiviert Zusatzfragen;Scope;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-07;Scope & Kritikalität;Workload;Welche Service-Modelle werden genutzt (IaaS/PaaS/SaaS/FaaS/Managed KI/sonstige)?;Multi-select;immer;Scope/Fakt;Basis;Architektur;3;G z.S4,S5,S9;;C3A/EU CSF;"SRC-03; SRC-04";höhere Abstraktion → andere Exit-/Control-Fragen;Applicability;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-08;Scope & Kritikalität;Workload;Welche Regionen/Availability Zones und Control-Plane-Regionen werden tatsächlich genutzt?;Liste;wenn Cloud;Fakt;Bedingt;Konfiguration/Provider-Nachweis;3;G z.S3,S7;SOV-4;"C3A SOV-4; DORA RoI";"SRC-04; SRC-09; SRC-08";unklar → Evidence Gap;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-3-01 Data Residence (für Daten-/Verarbeitungsort; Control-Plane separat fachlich prüfen) | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-09: DVO (EU) 2024/2956: Register-of-Information-Templates für Vertrags-, Provider- und Supply-Chain-Daten | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-09;Scope & Kritikalität;BusinessFunction;Welcher fachliche Owner verantwortet die unterstützte Funktion?;Rolle/Person;immer;Governance;Basis;Governance-Dokument/RACI;3;alle;;"BSI 200-3 Vorarbeiten; NIS2 Governance";"SRC-01; SRC-06";fehlender Owner → Governance-Follow-up;Scope/Governance;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2: Rollen/Risikoeigentümer; DVO (EU) 2024/2690 Annex 1.2 Rollen/Verantwortlichkeiten | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SC-10;Scope & Kritikalität;DataClass;Welches aktuelle Datenvolumen muss im Exit- oder Wiederanlauffall übertragen bzw. wiederhergestellt werden?;Größe;wenn Daten persistent sind;Test/Messung;Bedingt;Messung/Storage-Inventar;3;G z.S4,G z.S7;;"Data Act; DORA Exit";"SRC-08; SRC-12";Volumen in Exit-Zeitberechnung übernehmen;Impact/Exit;Fachliche Operationalisierung aus Quelle(n);SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration | SRC-12: Data Act VO (EU) 2023/2854: Kapitel VI – Wechsel zwischen Datenverarbeitungsdiensten / Switching;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
