ID;Quelle;URL / Datei;Version / Stand;Fundstelle / Normbezug;Prüfstand
SRC-01;BSI-Standard 200-3;"standard_200_3.pdf; https://www.bsi.bund.de/grundschutz";Version 1.0 / 2017;"Kap. 2; Kap. 3 Tabelle 1 S. 13–15; Kap. 4; Kap. 5; Kap. 6; Kap. 9.3/9.4";Volltext im Projekt geprüft
SRC-02;IT-Grundschutz-Kompendium;https://www.bsi.bund.de/grundschutz;"jährliche Edition; Version beim Import fixieren";Gefährdungsbeschreibungen, Bausteine, Anforderungen;Noch nicht als Volltext im Projekt eingelesen
SRC-03;EU Cloud Sovereignty Framework;https://commission.europa.eu/document/download/09579818-64a6-4dd5-9577-446ab6219113_en;v1.2.1 / Oct. 2025;"v1.2.1 §§2–5; SEAL-0–4; SOV-1–SOV-8; Sovereignty Score";Volltext/Fundstellen geprüft
SRC-04;BSI C3A – Criteria enabling Cloud Computing Autonomy;https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Empfehlungen-nach-Angriffszielen/Cloud-Computing/C3A/C3A.html;v1.0 / 27.04.2026;"C3A Kap. 2: SOV-1-01…SOV-1-04; SOV-2-01…SOV-2-03; SOV-3-01…SOV-3-05; SOV-4-01…SOV-4-10; SOV-5-01…SOV-5-05; SOV-6-01…SOV-6-03";Publikation + Kriterienstruktur geprüft
SRC-05;BSI C5;https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Empfehlungen-nach-Angriffszielen/Cloud-Computing/Kriterienkatalog-C5/Kriterienkatalog-C5_node.html;C5:2026 / veröffentlicht 07.04.2026;"C5:2026 Security-/Assurance-Kriterien; konkrete Control-ID nur nach Volltext-Mapping";Aktuelle Fassung/Publikation geprüft
SRC-06;DVO (EU) 2024/2690 zu NIS2;https://eur-lex.europa.eu/eli/reg_impl/2024/2690/oj;2024;"Annex 2.1.1–2.1.4 Risk Management; 5.1.1–5.1.7 Supply Chain; weitere Domänen themenbezogen";Primärtext/Fundstellen geprüft
SRC-07;ENISA NIS2 Technical Implementation Guidance;https://www.enisa.europa.eu/publications/nis2-technical-implementation-guidance;v1.0 / 2025;Guidance zu DVO 2024/2690;Publikation/Zweck geprüft
SRC-08;DORA – VO (EU) 2022/2554;https://eur-lex.europa.eu/eli/reg/2022/2554/oj;2022/Anwendung ab 2025;"Art. 28(4),(7),(8); Art. 29(1)-(2); Art. 30(2)-(3)";Primärtext/Fundstellen geprüft
SRC-09;DVO (EU) 2024/2956 – DORA Informationsregister;https://eur-lex.europa.eu/eli/reg_impl/2024/2956/oj;2024;Templates des Register of Information;Template-Struktur geprüft
SRC-10;EBA DORA Register of Information – DPM/Taxonomie;https://www.eba.europa.eu/activities/direct-supervision-and-oversight/digital-operational-resilience-act/preparation-dora-application;laufend;Data Point Model / Reporting-Taxonomie;Webseite als Referenz
SRC-11;EDPB Recommendations 01/2020;https://www.edpb.europa.eu/documents/recommendation/recommendations-012020-on-measures-that-supplement-transfer-tools-to_en;Final Version 2.0 / 18.06.2021;Transferprüfung / supplementary measures;Offizielle EDPB-Publikation geprüft
SRC-12;Data Act – VO (EU) 2023/2854;https://eur-lex.europa.eu/eli/reg/2023/2854/oj;2023;"Kap. VI Art. 23–31; Art. 25(2)(a); Art. 30; Art. 35";Primärtext/Kapitel geprüft
SRC-13;AI Act – VO (EU) 2024/1689;https://eur-lex.europa.eu/eli/reg/2024/1689/oj;2024;insb. Art. 9/10, soweit einschlägig;Regulatorisches Overlay
SRC-14;Cyber Resilience Act – VO (EU) 2024/2847;https://eur-lex.europa.eu/eli/reg/2024/2847/oj;2024;produktsicherheits-/lieferkettenbezogene Anforderungen;Referenz
SRC-15;NIST SP 800-30 Rev.1;https://csrc.nist.gov/pubs/sp/800/30/r1/final;Rev.1 / 2012;Risk Assessment Process und Appendices;Methodenreferenz
SRC-16;NIST SP 800-161 Rev.1;https://csrc.nist.gov/pubs/sp/800/161/r1/final;Rev.1;C-SCRM;Methodenreferenz
SRC-17;Bitkom Leitfaden Cloud-Souveränität praktisch umsetzen;https://www.bitkom.org/Bitkom/Publikationen/Cloud-Souveraenitaet-praktisch-umsetzen;2026;Risikofelder/Handlungsempfehlungen;Kernaussagen/Quelle als Referenz
SRC-18;BSI AIC4 – AI Cloud Service Compliance Criteria Catalogue;https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/CloudComputing/AIC4/AI-Cloud-Service-Compliance-Criteria-Catalogue_AIC4.pdf?__blob=publicationFile&v=4;Dokumentversion beim produktiven Mapping fixieren;KI-Cloud-Service-Kriterien;Dokument verfügbar
SRC-19;BSI Kriterienkatalog KI-Modelle in der Bundesverwaltung;https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/KI/Kriterienkatalog_KI-Modelle_Bundesverwaltung.pdf?__blob=publicationFile&v=3;Dokumentversion beim produktiven Mapping fixieren;Kriterien zur Integration externer generativer KI-Modelle;Zweck/Scope geprüft
