ID;Gefährdung / Risiko;Klasse;Risikomechanik;CIA;Beschreibung;Bedingung/Exposition;Trigger-Beispiele;Konsequenz;Bewertungsfaktoren;BSI-Anknüpfung;SOV-Bezug;Source IDs;Status;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
A 0.40;G 0.12 Elektromagnetische Störstrahlung;BSI-Crosswalk;Event/Störung;I,A;Elektromagnetische Einwirkung kann technische Komponenten oder Übertragungen stören.;EMV-Exposition;Störquelle/Fehlabschirmung;Fehlfunktion, Integritäts- oder Verfügbarkeitsverlust;"Exposition; Schutzmaßnahmen; Redundanz";G 0.12;SOV-4 mittelbar;"SRC-01; SRC-02";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
A 0.41;G 0.13 Abfangen kompromittierender Strahlung;BSI-Crosswalk;Informationsabfluss;C;Informationen können über kompromittierende Abstrahlung erfasst werden.;Physische/elektromagnetische Exposition;geeigneter Empfänger in Reichweite;Vertraulichkeitsverlust;"Schutzbedarf; räumliche Exposition; Abschirmung";G 0.13;SOV-3 mittelbar;"SRC-01; SRC-02";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
A 0.42;G 0.34 Anschlag;BSI-Crosswalk;Adversarial/physisch;C,I,A;Gezielter physischer Angriff auf Einrichtungen, Systeme oder Personal.;Exponierter Standort / attraktives Ziel;gezielter Angriff;Ausfall, Zerstörung, Informationsverlust;"Bedrohungslage; Standortresilienz; Redundanz";G 0.34;SOV-4;"SRC-01; SRC-02; SRC-06";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
A 0.43;G 0.43 Einspielen von Nachrichten;BSI-Crosswalk;Adversarial/Kommunikation;C,I;Gefälschte, manipulierte oder wiederholte Nachrichten beeinflussen Prozesse oder Zustände.;Nachrichten-/API-Kommunikation;Injection/Replay/MITM;Fehlsteuerung, Manipulation, Informationsabfluss;"Authentizität; Integrität; Replay-Schutz";G 0.43;SOV-7 mittelbar;"SRC-01; SRC-02; SRC-05";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
A 0.44;G 0.44 Unbefugtes Eindringen in Räumlichkeiten;BSI-Crosswalk;Adversarial/physisch;C,I,A;Unbefugter physischer Zutritt zu Räumen oder Standorten.;physische Zielobjekte;Umgehung Zutrittskontrolle;Manipulation, Diebstahl, Ausfall;"Zutrittszonen; Protokollierung; Provider-Nachweise";G 0.44;SOV-4;"SRC-01; SRC-02; SRC-05; SRC-06";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
A 0.45;G 0.46 Integritätsverlust schützenswerter Informationen;BSI-Crosswalk;Event/Integrität;I;Schützenswerte Informationen verlieren ihre Korrektheit oder Vollständigkeit, auch ohne vorsätzliche Manipulation.;schutzwürdige Informationen;Fehler/Defekt/Manipulation;falsche Entscheidungen, Prozessfehler, Vertrauensverlust;"Integritätsnachweise; Versionierung; Restore";G 0.46;SOV-3/SOV-7;"SRC-01; SRC-02; SRC-05";BSI-Abgleich;Direkte Quellenübernahme (Titel/Code) + fachliche Zusammenfassung;SRC-01: BSI 200-3 Kap. 3, Tabelle 1, S. 13–15. SRC-02 ist für spätere ausführliche Gefährdungsbeschreibung vorgesehen.;BSI-Code und -Bezeichnung sind Quelleninhalt. Beschreibung, Risikomechanik, Bewertungsfaktoren und SOV-Mapping sind Radar-Operationalisierung und keine BSI-Formulierungen.
G z.S1;Rechtmäßiger Zugriff durch Drittstaatsbehörden;Souveränitätsrisiko;Legal/Jurisdiction;C;Rechtmäßige Zugriffs- oder Herausgabeanordnungen außerhalb des Zielrechtsraums können die Kontrolle über Daten beeinträchtigen.;Rechtseinheit/Jurisdiktion technisch oder rechtlich zugriffsnah;Behördenanordnung / Rechtsdurchsetzung;"Vertraulichkeits- und Kontrollverlust; regulatorische Folgen";"Extraterritoriale Exposition; technische Zugriffsfähigkeit; Verschlüsselung; Key Control";"G 0.19; G 0.29";"SOV-2; SOV-3";"SRC-03; SRC-04; SRC-11";fachlich reviewed v0.5;Interne Risikokategorie – fachliche Synthese aus Quellen;"EU CSF v1.2.1 §4 SOV-2; C3A SOV-2-01 Extraterritorial Exposure; EDPB Recommendations 01/2020 Final v2.0";Interne Risikokategorie. Primäranker ist jurisdiktionelle/extraterritoriale Exposition; EDPB dient nur für den datenschutzrechtlichen Drittland-Teil.
G z.S2;Kontrollwechsel beim Anbieter;Souveränitätsrisiko;Structural/Corporate;C,I,A;Eigentums- oder Kontrolländerungen können Jurisdiktion, Governance und Leistungspflichten verändern.;starke Anbieterabhängigkeit;Übernahme, Fusion, Restrukturierung;"neue Rechts-/Betriebsabhängigkeit; veränderte Verträge";"Effective Control; Change Notice; Sonderkündigung; Exit-Fähigkeit";"G 0.11; G 0.18";SOV-1;"SRC-03; SRC-04";fachlich reviewed v0.5;Interne Risikokategorie – fachliche Synthese aus Quellen;"EU CSF v1.2.1 §4 SOV-1; C3A SOV-1-03 CSP Effective Control und SOV-1-04 CSP Control Change";Interne Risikokategorie. Change-of-Control ist extern als Prüfgegenstand belegt; Trigger-/Impact-Logik ist Radar-Operationalisierung.
G z.S3;Einseitiger Leistungsentzug oder externe Nutzungsbeschränkung;Souveränitätsrisiko;Operational/Contractual;A;Sperrung, Kündigung oder Nutzungsbeschränkung kann kritische Funktionen kurzfristig entziehen.;Abhängigkeit ohne rechtzeitige Alternative;Kündigung, Kontosperrung, Sanktion, Policy-Änderung;"Serviceausfall; Daten-/Funktionszugriff eingeschränkt";"Vertragsrechte; Autonomiedauer; Exit/Recovery; Offline-Fähigkeit";G 0.11;"SOV-1; SOV-4";"SRC-03; SRC-04; SRC-08; SRC-12";fachlich reviewed v0.5;Interne Risikokategorie – fachliche Synthese aus Quellen;"EU CSF v1.2.1 §4 SOV-1; C3A SOV-4-09 Disconnect/SOV-4-10 Reconnect; DORA Art. 28(8); Data Act Kap. VI";Interne Synthese aus autonomer Betriebsfähigkeit und Exit-/Switching-Anforderungen.
G z.S4;Technologischer Lock-in und fehlende Exit-Fähigkeit;Souveränitätsrisiko;Structural/Exit;A,I;Proprietäre technische oder vertragliche Abhängigkeiten verhindern einen rechtzeitigen oder vollständigen Wechsel.;hohe proprietäre Bindung / fehlende Zielplattform;Exit wird notwendig;langwierige Migration, Kosten, Betriebsunterbrechung, Daten-/Funktionsverlust;"Portabilität; Substituierbarkeit; Exit-Zeit; Datenvolumen; Kosten; getestete Zielplattform";"G 0.18; G 0.11";"SOV-4; SOV-6";"SRC-03; SRC-04; SRC-06; SRC-08; SRC-12; SRC-17";fachlich reviewed v0.5;Interne Risikokategorie – fachliche Synthese aus Quellen;"EU CSF v1.2.1 SOV-4/SOV-6; NIS2-DVO Annex 5.1.2(d); DORA Art. 28(8), Art. 29(1)(a); Data Act Kap. VI Art. 23–31";Lock-in ist eine strukturelle Exposition. Eintrittshäufigkeit allein ist hierfür kein ausreichendes Bewertungsmaß.
