Evidence-ID;Claim-ID;Domäne;Claim / belegte Aussage;Evidence Summary;Evidence Type;Base Trust;Scope Fit;Effective Trust;Freshness;Status;Source ID;URL;Gate/Faktor;Risk IDs;Caveat;Provenienztyp
E-001;CL-LJ-01;LJ;Für einen deutschen/EMEA-Account ist AWS EMEA SARL in Luxemburg grundsätzlich AWS Contracting Party.;"AWS Contracting Party wird nach Account Country bestimmt; EMEA → AWS EMEA SARL.";Legal/Contract Rule;4;2;2;aktuell;partially applicable;SRC-25;https://aws.amazon.com/legal/aws-contracting-party/;HG-01/F-06;"G z.S1; G z.S2";Konkretes Account Country/individueller Vertrag fehlt.;Direkte Provider-/Legal-Evidence
E-002;CL-LJ-02;LJ;AWS Europe ist europäische Vertragseinheit, aber Teil eines US-kontrollierten Konzerns.;AWS Europe und AWS sind wholly owned subsidiaries of Amazon.com, Inc.;Legal/Corporate;3;4;3;aktuell;verified service fact;SRC-26;https://aws.amazon.com/legal/aws-emea/;HG-01/F-06;"G z.S1; G z.S2";Kein eigenständiges Rechtsgutachten zur extraterritorialen Zugriffslage.;Direkte Provider-/Legal-Evidence
E-003;CL-LJ-03;LJ;Standardvertrag für AWS EMEA SARL unterliegt Luxemburger Recht/Gerichten.;AWS Customer Agreement nennt Luxemburg als governing law/courts für AWS EMEA SARL.;Contract;4;2;2;aktuell;partially applicable;SRC-27;https://aws.amazon.com/agreement/;HG-01;"G z.S1; G z.S2";Enterprise Agreement kann abweichen.;Direkte Vertrags-Evidence
E-004;CL-LJ-04;LJ;AWS kann Kundendaten bei gesetzlich bindender Anordnung offenlegen; versucht Redirect/Notice wenn rechtlich möglich.;AWS Data Privacy FAQ beschreibt Government Request Handling.;Provider Policy;2;4;2;aktuell;verified provider policy;SRC-45;https://aws.amazon.com/compliance/data-privacy-faq/;HG-01;G z.S1;Providerposition; unabhängige Legal-/TIA-Prüfung erforderlich.;Provider-Selbstauskunft
E-005;CL-DK-01;DK;Bedrock Inputs/Outputs werden nicht zum Training der AWS-/Drittmodelle verwendet und nicht mit Model Providern geteilt.;Bedrock FAQ enthält entsprechende Zusage.;Provider Documentation;2;5;2;aktuell;verified service claim;SRC-29;https://aws.amazon.com/bedrock/faqs/;F-09a;G z.S9;Retention/Abuse Detection ist separate Frage.;Provider-Selbstauskunft
E-006;CL-DK-02;DK;Drittmodell-Anbieter haben keinen Zugriff auf Bedrock Deployment Accounts, Logs, Prompts oder Completions.;Bedrock Service Team betreibt Model Deployment Accounts; Model Providers ohne Account-Zugriff.;Technical Documentation;2;5;2;aktuell;verified service claim;SRC-30;https://docs.aws.amazon.com/bedrock/latest/userguide/data-protection.html;F-09a;"G z.S9; G z.S11";AWS selbst bleibt Betreiber des Dienstes.;Technische Provider-Evidence
E-007;CL-DK-03;DK;Default ist ZDR/ZOA, aber modellabhängige Abuse-Detection-Ausnahmen können Inputs/Outputs bis 30 Tage speichern.;Bedrock Abuse Detection dokumentiert Default und spezifische Ausnahmen.;Technical Documentation;2;3;2;aktuell;conditional;SRC-31;https://docs.aws.amazon.com/bedrock/latest/userguide/abuse-detection.html;HG-02/F-09a;"G z.S1; G z.S9; G z.S12";Pilot-Modell fehlt; konkrete Retention unbekannt.;Technische Provider-Evidence
E-008;CL-DK-04;DK;Bedrock kann In-Region, geografisch cross-region oder global inferieren; Residency hängt vom Modus/Modell ab.;AWS dokumentiert drei Routing-/Residency-Modi.;Technical Documentation;2;3;2;aktuell;conditional;SRC-32;https://docs.aws.amazon.com/bedrock/latest/userguide/models-region-compatibility.html;HG-02/F-06;"G z.S1; G z.S4; G z.S12";Konkretes Modell/Inference Profile fehlt.;Technische Provider-Evidence
E-009;CL-DK-05;DK;Geographic Cross-Region hält Processing in der Geografie; Global kann weltweit routen.;AWS dokumentiert Geographic vs Global CRI und Routing.;Technical Documentation;2;3;2;aktuell;conditional;SRC-33;https://docs.aws.amazon.com/bedrock/latest/userguide/cross-region-inference.html;HG-02/F-06;"G z.S1; G z.S12";Konfiguration muss kundenspezifisch verifiziert werden.;Technische Provider-Evidence
E-010;CL-DK-06;DK;PrivateLink ermöglicht privaten Bedrock-Zugriff; Endpoint Policies können Zugriff begrenzen.;Bedrock Control/Runtime/Agents unterstützen Interface VPC Endpoints.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-34;https://docs.aws.amazon.com/bedrock/latest/userguide/vpc-interface-endpoints.html;HG-08;G z.S10;Nicht automatisch aktiv; konkrete Konfiguration fehlt.;Technische Provider-Evidence
E-011;CL-DK-07;DK;Bedrock unterstützt Verschlüsselung in Transit und KMS für bestimmte Ressourcen.;TLS/KMS Capability.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-35;https://docs.aws.amazon.com/bedrock/latest/userguide/data-encryption.html;HG-03/F-07;G z.S8;Keine providerunabhängige Key-Custody daraus ableitbar.;Technische Provider-Evidence
E-012;CL-DK-08;DK;Agent Control-/Session-Daten können mit customer-managed KMS key verschlüsselt werden.;Standard AWS-owned key; optional CMK.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-36;https://docs.aws.amazon.com/bedrock/latest/userguide/encryption-agents-new.html;HG-03/F-07;G z.S8;CMK ≠ HYOK/providerunabhängige Schlüsselhoheit.;Technische Provider-Evidence
E-013;CL-SE-01;SE;Bedrock API-/Agent-Aktionen sind über CloudTrail auditierbar.;Management/Data Events dokumentiert.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-37;https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html;HG-08/F-05;G z.S11;Tatsächliche Konfiguration fehlt.;Technische Provider-Evidence
E-014;CL-SE-02;SE;Invocation Logging kann Prompts/Responses in CloudWatch/S3 persistieren und ist standardmäßig deaktiviert.;Optionales Invocation Logging.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-38;https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html;HG-08/F-05;"G z.S11; G z.S1";Zielkonflikt Auditierbarkeit vs. Datenpersistenz.;Technische Provider-Evidence
E-015;CL-SE-03;SE;Bedrock Agents benötigen IAM-Service-Role und ggf. Lambda Resource Policies; Berechtigungsumfang bestimmt Blast Radius.;Agent-/Action-Group-Permissions.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-39;https://docs.aws.amazon.com/bedrock/latest/userguide/agents-permissions.html;HG-06/HG-08;"G z.S10; G 0.32; G 0.31";Tatsächliche Rollen/Policies fehlen.;Technische Provider-Evidence
E-016;CL-SE-04;SE;Bedrock Guardrails bieten konfigurierbare Safety-/Privacy-Kontrollen.;Guardrails Capability.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-40;https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails.html;HG-08;"G 0.28; G 0.31";Capability ≠ implementierter/getesteter Guardrail.;Technische Provider-Evidence
E-017;CL-SE-05;SE;Prompt-Attack-Filter unterstützen Jailbreak/Prompt Injection und je nach Tier Prompt Leakage.;Prompt-Attack Capability.;Technical Documentation;2;5;2;aktuell;verified capability;SRC-41;https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-prompt-attack.html;HG-08;"G 0.22; G 0.31";Wirksamkeit muss getestet werden.;Technische Provider-Evidence
E-018;CL-SE-06;SE;Guardrails Content Filters prüfen bei Tool Use nicht automatisch toolResult, toolSpec oder model-generierte toolUse.input.;Tool-Use-Ausnahmen dokumentiert.;Technical Documentation;2;5;2;aktuell;verified limitation;SRC-42;https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-content-filters.html;HG-08/F-09c;"G z.S9; G 0.22; G 0.31";Zusätzliche Tool-/Authorization-Kontrollen nötig.;Technische Provider-Evidence
