criterion_family;criterion_ids;kind;focus;radar_mapping;coverage;required_action;notes
SOV-1-01;SOV-1-01-C1|SOV-1-01-C2;C;EU- bzw. DE-Jurisdiktion inkl. Vertragsgovernance/Streitbeilegung;LJ-01|LJ-03|GV-02|GV-09;partial;Requirement-Profil weiter operationalisieren;EU/DE sind alternative Kundenanforderungen, keine Reifegradleiter
SOV-1-02;SOV-1-02-C1|SOV-1-02-C2;C;eingetragener Sitz EU bzw. DE;LJ-09|SP-02;partial;Subcontractor-Scope ergänzen;SI verlangt gleiche Anforderung auch für relevante Subcontractors
SOV-1-03;SOV-1-03-C1|SOV-1-03-C2;C;effektive Kontrolle EU bzw. DE;LJ-04|LJ-10;covered;keine direkte Änderung;Effective Control als Fact, nicht Länder-Score
SOV-1-04;SOV-1-04-C;C;Control Change mit Vorabinformation;LJ-05|SE-07;partial;90-Tage-Frist explizit prüfen;betrifft Ownership/Shareholding/Governance
SOV-2-01;SOV-2-01-C;C;jährliche Prüfung extraterritorialer Gesetze und strukturierte Risikobewertung;LJ-11|LJ-02;partial;jährlich + Availability/C/I-Scope präzisieren;Providerprozess ist eigener Evidence-Gegenstand
SOV-2-02;SOV-2-02-C1|SOV-2-02-C2;C;Auditrecht zuständiger Behörde bzw. Bundesverwaltung;LJ-12|SE-11;partial;Behörden-Auditrecht vom Kundenauditrecht trennen;bestehende Fragen sind breiter als C3A
SOV-2-03;SOV-2-03-C1|SOV-2-03-C2;C;Übernahme betriebsnotwendiger Cloud-Fähigkeiten im Verteidigungsfall;LJ-13;partial;Provider-Capability/Evidence-Frage ergänzen;nur bei öffentlichem/verteidigungsrelevantem Kontext
SOV-3-01;SOV-3-01-C1|SOV-3-01-C2|SOV-3-01-C3|SOV-3-01-C4|SOV-3-01-C5;C;Prüfbarkeit und EU/DE-Residence nach C3A-Datenklassen;DK-01|DK-02|DK-13;partial;Provider Service Option und Applied Configuration getrennt instanziieren;C3A-Datenklassen sind jetzt explizit im Intake enthalten
SOV-3-02;SOV-3-02-C;C;externes Key Management außerhalb Providerumgebung für IaaS/PaaS;DK-03|DK-04|DK-05|DK-14;partial;externen KMS-Ort/Servicemodell als Provider Capability modellieren;nicht mit normalem CMK gleichsetzen
SOV-3-02-AC;SOV-3-02-AC;AC;externes Key Management auch für SaaS;DK-03|DK-04|DK-14;partial;SaaS im Requirement Profile als Additional Criterion markieren;AC nur bei Kundenanforderung aktivieren
SOV-3-03;SOV-3-03-C;C;standards-basierte externe IdP-Integration;DK-10;covered;Provider Capability vs. Applied Capability getrennt prüfen;Basisanforderung im Fragenkatalog präzisiert
SOV-3-03-AC;SOV-3-03-AC1|SOV-3-03-AC2|SOV-3-03-AC3;AC;offene Standards, stateless Auth, dynamische Claims/Attribute;DK-17;covered;nur bei ausgewähltem Additional Criterion aktivieren;kein universelles Hard Gate
SOV-3-04;SOV-3-04-C;C;Management-/Datenzugriffslogs mit Zeit, Identität, Kontext;DK-11|SE-05;covered;Retain/Review im Evidence-Check erhalten;Export allein genügt nicht
SOV-3-04-AC;SOV-3-04-AC1|SOV-3-04-AC2;AC;Echtzeitzugriff über offene API und granulare Filterung;DK-18;covered;nur bei ausgewähltem Additional Criterion aktivieren;AC optional
SOV-3-05;SOV-3-05-C;C;Client-Side Encryption mit kundenseitigem Private Key außerhalb Provider;DK-09;covered;Service-Scope im Provider Claim erhalten;stärker als CMK/HYOK
SOV-4-01;SOV-4-01-C1|SOV-4-01-C2|SOV-4-01-C3;C/AC;Personal-Staatsangehörigkeit/Hauptwohnsitz und standalone EU-Organisation;OA-01;partial;Citizenship/Residency/Management-Control ergänzen;C3 ist Additional Criterion
SOV-4-02;SOV-4-02-C1|SOV-4-02-C2;C;Admin-Zugriffspfade EU/DE und technische Sperre externer Zugriffe;OA-09;partial;Access-Path statt nur Arbeitsort prüfen;Ausnahmen mit Zusatzfreigabe/Monitoring
