Service;Historical purpose;Current status
STS;collector account scope;retired as standard
Bedrock;model/inference/logging/guardrails read;retired as standard
Bedrock Agents;agent/KB config read;retired as standard
IAM;role/policy read;retired as standard
Lambda;action-group config read;retired as standard
KMS;key metadata/policy read;retired as standard
EC2;VPC endpoint read;retired as standard
CloudTrail;audit config read;retired as standard
CloudWatch Logs;retention metadata;retired as standard
S3;logging-bucket metadata;retired as standard
