QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
GV-01;Governance & Strategie;Organization;Welche Zieldefinition von digitaler Souveränität gilt für diesen Assessment-Kontext?;Multi-select/Text;immer;Governance;Basis;Cloud-/Sourcing-Strategie;2;alle;;"EU CSF; Bitkom";"SRC-03; SRC-17";ohne Zielbild keine sinnvolle Gewichtung;Governance;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-17: Bitkom Leitfaden Cloud-Souveränität praktisch umsetzen (2026): Risikofelder, Exit, Interoperabilität, Skills, Governance";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-02;Governance & Strategie;Organization;Welche Souveränitätsdimensionen dürfen bei diesem Workload nicht unter einen festgelegten Mindestwert fallen?;SOV1-8 + Schwelle;immer;Governance;Basis;Policy/Risk Appetite;2;alle;;EU CSF/C3A;"SRC-03; SRC-04";steuert Akzeptanzregeln;Risk appetite;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-03;Governance & Strategie;Organization;Wer ist Risk Owner und wer darf das verbleibende Souveränitätsrisiko akzeptieren?;Rolle/Name;immer;Governance;Basis;Risk Policy/RACI;3;alle;;"BSI 200-3; NIS2/DORA governance";"SRC-01; SRC-06; SRC-08";fehlend → keine Freigabe;Governance;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2 (Risikoeigentümer/Akzeptanzkriterien), Kap. 6 Risikoakzeptanz; DVO (EU) 2024/2690 Annex 2.1.1 | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-04;Governance & Strategie;Organization;Welche regulatorischen Regime gelten für Organisation, Funktion und Daten (z. B. NIS2, DORA, DSGVO, AI Act, Data Act)?;Multi-select;immer;Scope/Fakt;Basis;Legal/Compliance Scope;2;alle;;Regulatory Scope Inventory (NIS2/DORA/DSGVO-Transfer/Data Act/AI Act/CRA);"SRC-06; SRC-08; SRC-11; SRC-12; SRC-13; SRC-14; INT-01";aktiviert passende Crosswalks;Applicability;Interne Governance-Operationalisierung aus Primärrecht/Guidance;"PROVENIENZREVIEW v0.5 – Regulatory-scope inventory ist internes Governance-Element; einschlägige Primärquellen: NIS2-DVO, DORA, EDPB/DSGVO, Data Act, AI Act, CRA | INT-01: Interne Methodenentwicklung Souveränitäts-Radar; keine externe normative Quelle";"Die konkrete Frage/Regel ist internes Radar-Design. Externe Quellen begründen den Prüf- oder Governancegegenstand; die Formulierung, Antwortstruktur und Bewertung sind keine wörtliche Normvorgabe."
GV-05;Governance & Strategie;Organization;Ist eine Anbieter- oder Technologiediversifikation strategisches Ziel, und für welche kritischen Funktionen?;Boolean+Scope;wenn Konzentration relevant;Kontrolle;Bedingt;Sourcing/Cloud Strategy;2;G z.S4,S7;;"Bitkom; DORA Art.29";"SRC-08; SRC-17";ja → Architekturmaßnahmen prüfen;Control;Fachliche Operationalisierung aus Quelle(n);SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration | SRC-17: Bitkom Leitfaden Cloud-Souveränität praktisch umsetzen (2026): Risikofelder, Exit, Interoperabilität, Skills, Governance;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-06;Governance & Strategie;Organization;Wie werden Kosten, Time-to-Market und Innovationsnutzen gegen Souveränitätsrisiken dokumentiert abgewogen?;Text/Decision Record;immer;Entscheidung;Basis;Architecture Decision Record/Business Case;2;G z.S4,S9;;"BSI Risikoappetit/Chancen; Bitkom risikobasierter Souveränitätsansatz";"SRC-01; SRC-17; INT-01";keine dokumentierte Abwägung → Governance Gap;Decision;Interne Entscheidungslogik auf Quellenbasis;"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 9.1.2: Kosten von Maßnahmen vs. erwartete Schäden sowie Abgleich mit Chancen; Radar erweitert dies um Time-to-Market/Innovation | INT-01: Interne Methodenentwicklung Souveränitäts-Radar; keine externe normative Quelle";"Die konkrete Frage/Regel ist internes Radar-Design. Externe Quellen begründen den Prüf- oder Governancegegenstand; die Formulierung, Antwortstruktur und Bewertung sind keine wörtliche Normvorgabe."
GV-07;Governance & Strategie;CloudService;Welche wesentlichen Energie-, Wasser- oder Ressourcenabhängigkeiten des Services können die strategische Handlungsfähigkeit beeinflussen?;Text/Enum;wenn SOV-8 relevant;Fakt;Bedingt;Sustainability Report/Provider Evidence;2;G z.S6,S7;SOV-8;EU CSF SOV-8;SRC-03;optional getrennt von Security-Score halten;Exposure;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-08;Governance & Strategie;RiskScenario;Welche konkreten technischen, vertraglichen oder organisatorischen Maßnahmen sind bei Überschreitung definierter Trigger sofort umzusetzen?;Trigger→Action Matrix;immer;Fakt;Basis;Risk Treatment/Exit Runbook;3;G z.S2,S3,S12;;"BSI 200-3 Behandlung; NIS2";"SRC-01; SRC-06";fehlend → Monitoring ohne Reaktionsfähigkeit;Treatment;Fachliche Operationalisierung aus Quelle(n);SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-09;Governance & Strategie;Organization;Welche Souveränitätskriterien sind in Beschaffung oder Architekturentscheidungen als harte Ausschlusskriterien definiert?;Liste;wenn Beschaffung/Neuarchitektur;Governance;Bedingt;Policy/RFP/ADR;2;alle;;"C3A; EU CSF; Bitkom";"SRC-03; SRC-04; SRC-17";nicht erfüllt → keine Risikokompensation durch Score;Risk appetite;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-17: Bitkom Leitfaden Cloud-Souveränität praktisch umsetzen (2026): Risikofelder, Exit, Interoperabilität, Skills, Governance";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
GV-10;Governance & Strategie;Organization;Existiert ein dokumentierter Ausnahmeprozess für nicht erfüllte Souveränitätsanforderungen?;Boolean;immer;Governance;Basis;Risk Policy/Exception Process;2;alle;;"BSI 200-3 Risikoakzeptanz; NIS2 Governance";"SRC-01; SRC-06";nein → Governance Gap;Governance;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – BSI 200-3 Kap. 2: Ausnahmefälle abstimmen und dokumentieren; DVO (EU) 2024/2690 Annex 2.1.1-2.1.2 Residual Risk/Risk Treatment | SRC-01: BSI 200-3: Kap. 2 (Vorarbeiten), Kap. 3/Tabelle 1 S. 13–15, Kap. 4, Kap. 5, Kap. 6, Kap. 9.3/9.4 – je nach Zeilenbezug | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
