QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
LJ-01;Recht & Jurisdiktion;ProviderLegalEntity;Welche Rechtseinheit ist Vertragspartner für den konkreten Service?;Entity-ID;immer;Fakt;Basis;Vertrag/Impressum/Order Form;4;G z.S1,S2;"SOV-1; SOV-2";"C3A SOV-1/2; EU CSF";"SRC-03; SRC-04";Parent/UBO erfassen;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-01 Jurisdiction; SOV-1-02 Registered Office | SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-02;Recht & Jurisdiktion;ProviderLegalEntity;In welchen Jurisdiktionen unterliegen Vertragspartner, Muttergesellschaft und kontrollierende Unternehmen verbindlichen Zugriffs- oder Herausgabepflichten?;Länderliste;immer;Fakt;Basis;Legal Assessment/TIA/Provider Transparency;2;G z.S1;SOV-2;"EDPB 01/2020; EU CSF SOV-2";"SRC-03; SRC-11";Drittstaat → Legal-Assessment-Workflow;Exposure;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-11: EDPB Recommendations 01/2020: Transferprüfung und supplementary measures; Legal-/Jurisdiction-Anschluss";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-03;Recht & Jurisdiktion;Contract;Welches Recht und welcher Gerichtsstand gelten für den Vertrag?;Land/Text;immer;Fakt;Basis;Vertrag;4;G z.S1,S2,S3;SOV-2;"C3A SOV-2; DORA";"SRC-04; SRC-08";abweichend vom Zielrechtsraum → Review;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-01 Jurisdiction; SOV-2-01 Extraterritorial Exposure | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-04;Recht & Jurisdiktion;ProviderLegalEntity;Wer übt die letztendliche rechtliche oder wirtschaftliche Kontrolle über den Anbieter aus?;Entity-ID/Text;immer;Fakt;Basis;Registerauszug/UBO/Corporate Report;2;G z.S2;SOV-1;C3A SOV-1;SRC-04;Änderung → Reassessment-Trigger;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-03 CSP Effective Control | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-05;Recht & Jurisdiktion;Contract;Muss der Anbieter einen Change of Control, wesentliche Konzernumstrukturierungen oder Jurisdiktionswechsel melden?;Boolean+Frist;wenn Vertrag;Kontrolle;Bedingt;Vertrag;4;G z.S2,S12;SOV-1;C3A SOV-1;SRC-04;nein → Gap/Monitoring erhöhen;Control;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-04 CSP Control Change | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-06;Recht & Jurisdiktion;Contract;Besteht bei Change of Control oder regulatorisch problematischem Jurisdiktionswechsel ein Sonderkündigungs- und Exportrecht?;Boolean;wenn Vertrag;Kontrolle;Bedingt;Vertrag;4;G z.S2,S4;;"DORA Exit; Data Act; C3A";"SRC-04; SRC-08; SRC-12";nein → Exit-Risiko;Control;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – DORA Art. 28(7)-(8) Exit/Beendigung; Data Act Kap. VI Art. 23–31 Switching | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration | SRC-12: Data Act VO (EU) 2023/2854: Kapitel VI – Wechsel zwischen Datenverarbeitungsdiensten / Switching";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-07;Recht & Jurisdiktion;CloudService;Veröffentlicht der Provider belastbare Transparenzdaten zu Behördenanfragen und rechtlichen Zugriffsmechanismen?;Enum/URL;wenn Daten verarbeitet;Evidenz;Bedingt;Transparency Report/Legal Paper;2;G z.S1;;EDPB 01/2020;SRC-11;nur Marketing → niedrige Evidenz;Evidence;Fachliche Operationalisierung aus Quelle(n);"SRC-11: EDPB Recommendations 01/2020: Transferprüfung und supplementary measures; Legal-/Jurisdiction-Anschluss";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-08;Recht & Jurisdiktion;RiskScenario;Wurde für relevante Drittlandtransfers ein dokumentiertes Transfer-/Legal-Impact-Assessment durchgeführt und aktualisiert?;Boolean+Datum;wenn DSGVO/Drittland relevant;Evidenz;Bedingt;TIA/DPIA/Legal Opinion;4;G z.S1;;DSGVO/EDPB 01/2020;SRC-11;nein/alt → Legal Review;Control/Evidence;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – EDPB Recommendations 01/2020, Final Version 2.0 (Transferprüfung und ergänzende Maßnahmen) | SRC-11: EDPB Recommendations 01/2020: Transferprüfung und supplementary measures; Legal-/Jurisdiction-Anschluss";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-09;Recht & Jurisdiktion;ProviderLegalEntity;In welchem Staat befindet sich der eingetragene Sitz des unmittelbaren Cloud-Dienstleisters?;Land;immer;Fakt;Basis;Handelsregister/Impressum;2;G z.S1,G z.S2;SOV-1;C3A SOV-1-02;SRC-04;außer Zielraum → Legal Review;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-02 Registered Office | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
LJ-10;Recht & Jurisdiktion;ProviderLegalEntity;In welchem Staat liegt die effektive Kontrolle über den Cloud-Dienstleister?;Land/Entity-ID;immer;Fakt;Basis;Konzernstruktur/UBO/Corporate Filing;2;G z.S1,G z.S2;SOV-1;C3A SOV-1-03;SRC-04;außer Zielraum → Extraterritorial- und Change-of-Control-Pfad;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-1-03 CSP Effective Control | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
