Faktor-ID;Faktor;Messgröße/Formel;Sehr gut / gering;Gut / mittel;Schwach / hoch;Kritisch / sehr hoch;Gate-Bezug;Output;Source IDs;Provenienztyp;Fundstelle/Herleitung;Hinweis
F-01a;Exit Transition Ratio;getestete End-to-End-Exit-Tage / fachlich erlaubter Exit-Horizont;<=0,5;>0,5–1;>1–2;>2;HG-04;Ratio + Klasse;"SRC-08; SRC-12; INT-01";Interne Schwelle;"DORA Art. 28(8); Data Act Art. 25; INT-01";Exit-Horizont ist fachlich/vertraglich festzulegen. 30 Tage aus Data Act nur bei anwendbarem Switching als Benchmark, nicht als universelle RTO.
F-01b;Cutover Downtime Ratio;getestete Service-Unterbrechung beim Cutover / MTPD (oder zulässige Unterbrechung);<=0,5;>0,5–1;>1–2;>2;HG-04;Ratio + Klasse;"SRC-08; SRC-20; INT-01";Interne Schwelle;"DORA: Exit ohne Business Disruption; BCM-Zeitdimension; INT-01";Trennt Migrationsdauer von tatsächlicher Betriebsunterbrechung.
F-01c;Exit Test Maturity;0–4 Reifegrad;4;3;2;0–1;HG-04;Level 0–4;"SRC-08; SRC-12; SRC-24; INT-01";Interne Reifestufe;"Exit/Switching/Portabilität extern; Reifestufen intern";"0 kein Plan; 1 Datenexport; 2 Alternative+Mapping; 3 End-to-End getestet; 4 wiederholt produktionsnah inkl. Rollback."
F-02;Substituierbarkeit;Capability-Level 0–4;4;3;2;0–1;HG-04/HG-07;Level 0–4;"SRC-08; SRC-12; SRC-06; INT-01";Interne Reifestufe;"DORA Art. 29 'not easily substitutable'; Data Act Switching; NIS2 Vendor Lock-in";"4 getestete Alternative; 3 realistisch/teilgetestet; 2 erhebliche Anpassung; 1 theoretisch/schwer; 0 keine Alternative."
F-03;Autonomiedeckung;getestete autonome Betriebsdauer / geforderte Autonomiedauer;>=1;>=0,75–<1;>=0,25–<0,75;<0,25;HG-05;Ratio + Klasse;"SRC-03; SRC-04; SRC-24; INT-01";Interne Schwelle;"EU CSF Operational Sovereignty; C3A Disconnect/Reconnect; INT-01";Nur berechnen, wenn eine fachlich begründete Autonomieanforderung existiert.
F-04;Kritische Konzentration;kritikalitätsgewichteter Anteil in derselben Common-Cause-Gruppe;<=25%;>25–50%;>50–75%;>75%;Portfolio;Anteil + Klasse;"SRC-08; SRC-09; SRC-06; INT-01";Interne Schwelle;"DORA Art. 29 Konzentration; NIS2 SPOF/Diversifikation";Floor: >=2 kritische Funktionen in gleicher Gruppe + Substituierbarkeit 0–1 => mindestens hoch.
F-05;Evidence Confidence;MinTrust kritischer Claims + Coverage der erforderlichen Claims;Trust>=4 & Coverage>=90%;Trust>=3 & Coverage>=80%;Trust>=2 & Coverage>=60%;darunter;alle;Confidence Class;"SRC-07; SRC-24; INT-01";Interne Schwelle;"EU CSF supporting evidence/depth; ENISA evidence guidance";Nicht in Risiko-/Capability-Score hineinmitteln.
F-06;Control Region Fit;Capability-Level 0–4;4;3;2;0–1;HG-01/HG-02;Level 0–4;"SRC-03; SRC-04; SRC-24; INT-01";Interne Reifestufe;"EU CSF SOV-1/SOV-2/SOV-3; C3A Jurisdiction/Data Residence";Workload Requirement bestimmt Mindestniveau.
F-07;Key Control;Capability-Level 0–4;4;3;2;0–1;HG-03;Level 0–4;"SRC-03; SRC-04; SRC-24; INT-01";Interne Reifestufe;"EU CSF SOV-3 crypto control; C3A External Key Management/Client-Side Encryption";Keine pauschale Forderung nach Level 4 für jeden Workload.
F-08;Supply Chain Visibility & Substitution;Mindestlevel aus Transparenz 0–4 und Substituierbarkeit 0–4;4;3;2;0–1;HG-07;Floor-Level;"SRC-03; SRC-04; SRC-06; SRC-16; INT-01";Interne Formel;SOV-5/C3A/NIS2/NIST C-SCRM;Floor verhindert, dass gute Dokumentation fehlende Alternative wegmittelt.
F-09a;KI Data Control;0–4;4;3;2;0–1;KI/HG-02/HG-03;Level;"SRC-03; SRC-18; SRC-19; INT-01";Interne KI-Reifestufe;EU CSF SOV-3 + BSI KI-Quellen;Datenverwendung, Speicher-/Verarbeitungsort, Löschung, Key Control.
F-09b;KI Model Portability;0–4;4;3;2;0–1;KI/HG-04;Level;"SRC-03; SRC-18; SRC-19; INT-01";Interne KI-Reifestufe;EU CSF SOV-3/SOV-6;Versionierbarkeit, Alternativmodelle, Eval-Kompatibilität.
F-09c;KI Agent/Tool/Policy Portability;0–4;4;3;2;0–1;KI/HG-04;Level;"SRC-03; SRC-18; SRC-19; INT-01";Interne KI-Reifestufe;EU CSF SOV-6 + interne Operationalisierung;Tool-Schema, Prompt/Policy, Memory, Observability, Agent Runtime.
F-09d;KI Portability Floor / Index;"Floor=MIN(Data,Model,Agent); Index=25×AVERAGE(Data,Model,Agent)";Floor 4;Floor 3;Floor 2;Floor 0–1;KI/HG-04;Floor + 0–100;"SRC-24; INT-01";Interne Formel;Gate/Floor-Prinzip aus EU CSF Guidance adaptiert;Floor hat Vorrang vor Durchschnitt.
