QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
DK-01;Daten, Schlüssel & KI;DataClass;Welche Datenklassen werden verarbeitet und wie sind sie den C3A-Klassen Cloud Service Customer Data, Cloud Service Derived Data, Account Data und – soweit für Provider Intelligence relevant – Cloud Service Provider Data zugeordnet?;Matrix/Liste;immer;Scope/Fakt;Basis;Dateninventar/DPIA/Architektur/Provider-Doku;3;G z.S1,S8,S9;SOV-3;"C3A Definitionen; EU CSF SOV-3; DSGVO";"SRC-03; SRC-04; SRC-11";unvollständig → Datenklassifizierung/Discovery-Follow-up;Scope;Fachliche Operationalisierung aus Quelle(n);"C3A v1.0 Kap. 1.5 unterscheidet Account Data, Cloud Service Customer Data, Cloud Service Derived Data und Cloud Service Provider Data. Der Radar ergänzt fachliche Kategorien wie Prompts, Support-Dumps oder Logs und ordnet sie für C3A-Auswertungen den passenden C3A-Klassen zu.";"Die C3A-Datenklassen werden als Provider-/Service-Scope übernommen; fachliche Kundendatenklassen bleiben zusätzlich erhalten."
DK-02;Daten, Schlüssel & KI;DataClass;In welchen Ländern/Regionen werden Cloud Service Customer Data, Cloud Service Derived Data, Account Data und – soweit relevant – Cloud Service Provider Data gespeichert und verarbeitet, einschließlich Replikaten, Backups, Logs, Support- und Fallbackpfaden?;Matrix;wenn Daten gespeichert/verarbeitet;Fakt;Bedingt;Provider-Konfiguration/Vertrag/Evidence;4;G z.S1;"SOV-2; SOV-3";"C3A SOV-3-01; DORA RoI";"SRC-04; SRC-09; SRC-08";außer Zielraum → Legal/Control Review;Exposure;Fachliche Operationalisierung aus Quelle(n);"C3A v1.0 SOV-3-01 unterscheidet Residence-Anforderungen für Derived/Account Data, Customer Data und Provider Data sowie EU-/Deutschlandvarianten. Der Radar erweitert die Erhebung um Replikate, Backups, Support- und Fallbackpfade für die konkrete Architektur.";"Die Standortprüfung wird datenklassenspezifisch geführt; eine pauschale Aussage 'Daten in Deutschland/EU' reicht nicht aus."
DK-03;Daten, Schlüssel & KI;CryptoKey;Wer erzeugt die Schlüssel, die schützenswerte Daten verschlüsseln?;Enum Kunde/Provider/Dritter;wenn Verschlüsselung;Fakt;Bedingt;KMS/HSM-Konfiguration;3;G z.S8;SOV-3;"C3A SOV-3-02; C5";"SRC-04; SRC-05";Provider → Folgefrage DK-04;Exposure;Fachliche Operationalisierung aus Quelle(n);"C3A v1.0 SOV-3-02 verlangt für IaaS/PaaS die Integration externer Schlüsselverwaltung oder funktional gleichwertige Mechanismen, bei denen Erstellung, Verwaltung und Speicherung der Schlüssel außerhalb der CSP-Umgebung liegen; für SaaS ist dies Additional Criterion.";"Die Frage ist Teil der Radar-Operationalisierung der effektiven Schlüsselkontrolle."
DK-04;Daten, Schlüssel & KI;CryptoKey;Kann der Provider oder eine Konzern-/Drittpartei Schlüssel technisch verwenden, exportieren, sperren oder ersetzen, ohne aktive Zustimmung des Kunden?;Boolean/Teilweise;wenn Schlüssel providerbezogen;Kontrolle;Bedingt;"HSM/KMS-Architektur; Vertrags-/Techniknachweis";3;G z.S8,S1;SOV-3;C3A SOV-3-02;SRC-04;ja → hohe Schlüssel-Exposition;Exposure/Control;Fachliche Operationalisierung aus Quelle(n);"C3A SOV-3-02 stützt die Trennung der Schlüsselverwaltung von der CSP-Umgebung; die konkrete Prüfung möglicher Provideraktionen ist Radar-Operationalisierung zur effektiven Kontrolle.";"Nicht jede Customer-Managed-Key-Funktion erfüllt automatisch die C3A-Anforderung externer Schlüsselkontrolle."
DK-05;Daten, Schlüssel & KI;CryptoKey;Kann der Kunde Schlüssel unabhängig vom Provider widerrufen und Datenzugriff wirksam unterbrechen?;Boolean;wenn eigene Schlüssel;Kontrolle;Bedingt;KMS/HSM-Test/Runbook;3;G z.S8;SOV-3;EU CSF SOV-3;SRC-03;nein → Control Gap;Control;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme."
DK-06;Daten, Schlüssel & KI;CloudService;Werden Kundendaten, Prompts oder Outputs für Training, Fine-Tuning oder Produktverbesserung des Anbieters genutzt?;Enum Nein/Opt-in/Opt-out/Ja;wenn KI/Analytics;Fakt;Bedingt;Vertrag/DPA/Service Settings;4;G z.S9,S1;;AI Act/DSGVO/EU CSF;"SRC-03; SRC-11; SRC-13";ja/unklar → Daten-/Legal Review;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – EU CSF v1.2.1 SOV-3 Data & AI; AI Act Art. 9/10 nur als regulatorisches Overlay, sofern anwendbar | SRC-03: EU Cloud Sovereignty Framework: SOV-1 bis SOV-8; konkretes SOV ist in der jeweiligen Zeile angegeben | SRC-11: EDPB Recommendations 01/2020: Transferprüfung und supplementary measures; Legal-/Jurisdiction-Anschluss | SRC-13: AI Act VO (EU) 2024/1689: insbesondere Art. 9 Risikomanagement und Art. 10 Daten/Data Governance, soweit einschlägig";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme."
DK-07;Daten, Schlüssel & KI;CloudService;Ist die konkrete Modellversion identifizierbar und für einen definierten Zeitraum reproduzierbar bzw. fixierbar?;Boolean+Version;wenn KI;Kontrolle;Bedingt;Model Card/API/Vertrag;4;G z.S9,S12;SOV-3;"AI Act; EU CSF SOV-3";"SRC-03; SRC-13";nein → Reproduzierbarkeits-/Drift-Risiko;Control;Fachliche Operationalisierung aus Quelle(n);"SRC-03: EU Cloud Sovereignty Framework; SRC-13: AI Act, soweit einschlägig.";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert."
DK-08;Daten, Schlüssel & KI;CloudService;Kann die KI-Funktion innerhalb der geforderten Zeit auf ein alternatives Modell oder einen alternativen Provider migriert werden?;Dauer+Ja/Nein;wenn KI;Test/Messung;Bedingt;PoC/Exit-Test/Abstraktionsarchitektur;3;G z.S9,S4;SOV-6;"Data Act; EU CSF SOV-6; Bitkom";"SRC-03; SRC-12; SRC-17";Exit-Zeit > MTPD → hohes Risiko;Exit;Fachliche Operationalisierung aus Quelle(n);"Data Act/Bitkom/EU CSF stützen Kundenportabilität. C3A v1.0 SOV-6 wird nicht als direkte Quelle verwendet, da es providerseitige Source-Code-, Continuous-Delivery- und Software-Development-Autonomie adressiert.";"C3A-Direktbezug entfernt."
DK-09;Daten, Schlüssel & KI;DataClass;Ist Client-seitige Verschlüsselung für die relevanten Daten technisch möglich, sodass Cloud Service Customer Data bei Übertragung, Verarbeitung oder Speicherung in der Cloud mit einem ausschließlich außerhalb der CSP-Umgebung verfügbaren privaten Schlüssel geschützt werden kann?;Boolean;wenn C3A SOV-3-05/hohe Vertraulichkeit relevant;Kontrolle;Bedingt;Architekturtest/Provider-Dokumentation;2;G z.S1,G z.S8;SOV-3;C3A SOV-3-05;SRC-04;ja → technische Mitigation/Anforderungsabdeckung bewerten;Control;Fachliche Operationalisierung aus Quelle(n);"C3A v1.0 SOV-3-05 Client-Side Encryption fordert die Möglichkeit, Customer Data innerhalb der Cloud bei Transmission, Processing oder Storage mit einem privaten Schlüssel zu verschlüsseln, der nur dem Kunden außerhalb der CSP-Umgebung verfügbar ist; bei Teilabdeckung muss der Provider betroffene Services auflisten.";"Frage an den Volltext präzisiert."
DK-10;Daten, Schlüssel & KI;CloudService;Unterstützt der Cloud-Service die standardbasierte Integration eines externen Identity Providers für Authentisierung und Zugriffsmanagement?;Boolean;wenn IAM relevant;Kontrolle;Bedingt;Provider-Dokumentation/IAM-Konfiguration/Test;3;G z.S10,G z.S5;SOV-3;C3A SOV-3-03;SRC-04;nein → Trust-Anchor-Abhängigkeit erfassen;Control/Exposure;Fachliche Operationalisierung aus Quelle(n);"C3A v1.0 SOV-3-03-C fordert standards-based integration externer Identity Provider für Authentication and Access Management.";"Provider Capability und konkrete kundenseitige Nutzung bleiben getrennt zu bewerten."
